Name,Movie,Year,Cause of Death
Bruce Dern,Down in the Valley,2005,Firearms
Bruce Dern,The Astronaut Farmer,2006,Ailment
Bruce Dern,The Hard Easy,2006,Firearms
Bruce Dern,The Hole,2009,Supernatural
Bruce Dern,Choose,2011,Fire
Bruce Dern,Twixt,2011,Strangulation
Bruce Dern,Cut Bank,2014,Cutting Instrument
Bruce Dern,The Hateful Eight,2015,Firearms
Bruce Dern,White Boy Rick,2018,Other
Bruce Dern,Freaks,2018,Firearms
Bruce Dern,Badland,2019,Firearms
Bruce Dern,Death in Texas,2020,Firearms
Bruce Dern,Butch Cassidy and the Wild Bunch,2023,Firearms
Hugo Weaving,The Custodian,1993,Firearms
Hugo Weaving,Reckless Kelly,1993,Impact
Hugo Weaving,The Matrix,1999,Firearms
Hugo Weaving,The Matrix Revolutions,2003,Ailment
Hugo Weaving,Little Fish,2005,Narcotics
Hugo Weaving,V for Vendetta,2005,Firearms
Hugo Weaving,Transformers,2007,Impact
Hugo Weaving,Captain America: The First Avenger,2011,Other
Hugo Weaving,Transformers: Dark of the Moon,2011,Cutting Instrument
Hugo Weaving,Cloud Atlas,2012,Fire
Hugo Weaving,Mystery Road,2013,Firearms
Hugo Weaving,Mortal Engines,2018,Impact
Terrence Howard,Mr. Hollands Opus,1995,Other
Terrence Howard,Biker Boyz,2003,Vehicular
Terrence Howard,Four Brothers,2005,Firearms
Terrence Howard,Idlewild,2006,Firearms
Terrence Howard,Dead Man Down,2013,Firearms
Terrence Howard,Lee Daniels The Butler,2013,Firearms
Terrence Howard,Sabotage,2014,Impact
Terrence Howard,Term Life,2016,Firearms
Leonard Nimoy,Old Overland Trail,1953,Animals
Leonard Nimoy,The Brain Eaters,1958,Firearms
Leonard Nimoy,Catlow,1971,Firearms
Leonard Nimoy,Invasion of the Body Snatchers,1978,Supernatural
Leonard Nimoy,Star Trek II: The Wrath of Khan,1982,Vehicular
Leonard Nimoy,The Pagemaster,1994,Impact
Leonard Nimoy,Land of the Lost,2009,Supernatural
Leonard Nimoy,Transformers: Dark of the Moon,2011,Other
Leonard Nimoy,Star Trek Beyond,2016,Other
Diego Luna,Nicotina,2003,Fire
Diego Luna,Milk,2008,Strangulation
Diego Luna,Contraband,2012,Firearms
Diego Luna,Casa De Mi Padre,2012,Firearms
Diego Luna,Elysium,2013,Cutting Instrument
Diego Luna,Blood Father,2016,Other
Diego Luna,Rogue One,2016,Explosives
Diego Luna,Wander Darkly,2020,Vehicular
William Fichtner,Heat,1995,Vehicular
William Fichtner,Strange Days,1995,Firearms
William Fichtner,The Underneath,1995,Firearms
William Fichtner,Albino Alligator,1996,Animals
William Fichtner,The Settlement,1999,Cutting Instrument
